source,metric_id,metric_name,unitid,institution_name,data_year,period_label,period_type,value,value_unit,definition_reference_year,definition_variable
IPEDS,pct_ftft_awarded_pell_grants,Percent of full-time first-time undergraduates awarded Pell grants,169798,Eastern Michigan University,2014,2014-15,academic_year,47,Percent,2023,PGRNT_P
IPEDS,avg_ftft_pell_grant_aid,Average amount of Pell grant aid awarded to full-time first-time undergraduates,169798,Eastern Michigan University,2014,2014-15,academic_year,4492,USD,2023,PGRNT_A
IPEDS,pct_ftft_awarded_institutional_grant_aid,Percent of full-time first-time undergraduates awarded  institutional grant aid,169798,Eastern Michigan University,2014,2014-15,academic_year,90,Percent,2023,IGRNT_P
IPEDS,avg_ftft_institutional_grant_aid,Average amount of institutional grant aid awarded to full-time first-time undergraduates,169798,Eastern Michigan University,2014,2014-15,academic_year,4799,USD,2023,IGRNT_A
IPEDS,pct_ftft_awarded_student_loans,Percent of full-time first-time undergraduates awarded student loans,169798,Eastern Michigan University,2014,2014-15,academic_year,66,Percent,2023,LOAN_P
IPEDS,avg_ftft_student_loans,Average amount of student loans awarded to full-time first-time undergraduates,169798,Eastern Michigan University,2014,2014-15,academic_year,6570,USD,2023,LOAN_A
IPEDS,pct_ftft_awarded_federal_student_loans,Percent of full-time first-time undergraduates awarded federal student loans,169798,Eastern Michigan University,2014,2014-15,academic_year,66,Percent,2023,FLOAN_P
IPEDS,avg_ftft_federal_student_loans,Average amount of federal student loans awarded to full-time first-time undergraduates,169798,Eastern Michigan University,2014,2014-15,academic_year,6293,USD,2023,FLOAN_A
IPEDS,total_price_in_state_on_campus,Total price for in-state students living on campus,169910,Ferris State University,2014,2014-15,academic_year,22265,USD,2023,CINSON
IPEDS,total_price_out_state_on_campus,Total price for out-of-state students living on campus,169910,Ferris State University,2014,2014-15,academic_year,28055,USD,2023,COTSON
IPEDS,total_price_in_state_off_campus_not_family,Total price for in-state students living off campus (not with family),169910,Ferris State University,2014,2014-15,academic_year,22265,USD,2023,CINSOFF
IPEDS,total_price_out_state_off_campus_not_family,Total price for out-of-state students living off campus (not with family),169910,Ferris State University,2014,2014-15,academic_year,28055,USD,2023,COTSOFF
IPEDS,total_price_in_state_off_campus_family,Total price for in-state students living off campus (with family),169910,Ferris State University,2014,2014-15,academic_year,,USD,2023,CINSFAM
IPEDS,total_price_out_state_off_campus_family,Total price for out-of-state students living off campus (with family),169910,Ferris State University,2014,2014-15,academic_year,,USD,2023,COTSFAM
IPEDS,percent_admitted_total,Percent admitted - total,169910,Ferris State University,2014,2014-15,fall,78,Percent,2023,DVADM01
IPEDS,percent_admitted_men,Percent admitted - men,169910,Ferris State University,2014,2014-15,fall,77,Percent,2023,DVADM02
IPEDS,percent_admitted_women,Percent admitted - women,169910,Ferris State University,2014,2014-15,fall,80,Percent,2023,DVADM03
